frequency,V(+v),V(n003),V(n002),V(n004),V(n001),V(-v),V(n005),V(y),V(x),I(C2),I(C1),I(I1),I(R4),I(R6),I(R5),I(R3),I(R2),I(R1),I(V2),I(V5),I(V4),I(V3),I(V1),Ix(u1:1),Ix(u1:2),Ix(u1:3),Ix(u1:4),Ix(u1:5),Ix(u2:1),Ix(u2:2),Ix(u2:3),Ix(u2:4),Ix(u2:5)
0.0,0.0,2.2896992128267195e-05,2.2896992128267195e-05,2.2896992128267195e-05,1.1448418818377118e-05,0.0,3.434525698855736e-07,6.86909774528887e-07,6.86909774528887e-07,7.396616256343065e-18,2.477817390112321e-16,0.0,6.86909774528887e-09,3.434572046433134e-10,3.4345256988557363e-10,1.1448573309890078e-08,1.1448418818377118e-08,2.2896992128267196e-07,-7.2125549573287964e-09,-1.2381552213402646e-07,2.4041849484034374e-07,-2.4041849484034374e-07,-1.2381552213402646e-07,-1.5463625829432452e-13,1.54739294697172e-13,1.202092447358822e-07,1.202092447358822e-07,-2.404184948403435e-07,-4.639075542370036e-15,4.642154355992769e-15,3.6062773981443147e-09,3.6062773981443147e-09,-7.212554957328794e-09
0.0,0.0,2.4723603392114482e-05,2.4723603392114482e-05,2.4723603392114482e-05,1.2361718288008e-05,0.0,3.708515544000418e-07,7.417081132963743e-07,7.417081132963743e-07,7.986682740546874e-18,2.6754857488505985e-16,0.0,7.4170811329637435e-09,3.7085655889633254e-10,3.708515544000418e-10,1.2361885104106482e-08,1.2361718288008e-08,2.4723603392114483e-07,-7.787937699846753e-09,-1.3369292551095052e-07,2.5959791929279985e-07,-2.5959791929279985e-07,-1.3369292551095052e-07,-1.6697239090396082e-13,1.6708364705503822e-13,1.297989567479707e-07,1.297989567479707e-07,-2.595979192927998e-07,-5.009158546886492e-15,5.0124829734394375e-15,3.893968762979791e-09,3.893968762979791e-09,-7.787937699846753e-09
0.0,0.0,2.669593286604443e-05,2.669593286604443e-05,2.669593286604443e-05,1.334787637108231e-05,0.0,4.0043629735176e-07,8.008779984343146e-07,8.008779984343146e-07,8.623821931711484e-18,2.888923151739318e-16,0.0,8.008779984343147e-09,4.004417010825546e-10,4.0043629735176e-10,1.334805649496212e-08,1.334787637108231e-08,2.669593286604443e-07,-8.409221694049525e-09,-1.4435830034564268e-07,2.803073854442987e-07,-2.803073854442987e-07,-1.4435830034564268e-07,-1.8029264049564748e-13,1.8041277212732724e-13,1.4015368959249746e-07,1.4015368959249746e-07,-2.8030738544429863e-07,-5.408764983181973e-15,5.4123546164955884e-15,4.204610753145239e-09,4.204610753145239e-09,-8.409221694049526e-09
0.0,0.0,2.882560524392036e-05,2.882560524392036e-05,2.882560524392036e-05,1.44127053753144e-05,0.0,4.3238116797486786e-07,8.647681707640315e-07,8.647681707640315e-07,9.311789078149029e-18,3.1193875828137696e-16,0.0,8.647681707640315e-09,4.323870027891636e-10,4.323811679748679e-10,1.4412899868605959e-08,1.4412705375314401e-08,2.882560524392036e-07,-9.080068719741265e-09,-1.5587450718905563e-07,3.026689526197483e-07,-3.026689526197483e-07,-1.5587450718905563e-07,-1.9467551516157499e-13,1.948052303175847e-13,1.513344729305538e-07,1.513344729305538e-07,-3.026689526197483e-07,-5.8402500878242484e-15,5.84412608483514e-15,4.540034258501854e-09,4.540034258501854e-09,-9.080068719741264e-09
0.0,0.0,3.112517258144558e-05,3.112517258144558e-05,3.112517258144558e-05,1.5562481286210058e-05,0.0,4.6687444583746235e-07,9.33755191962478e-07,9.33755191962478e-07,1.005463900602033e-17,3.3682373815014355e-16,0.0,9.33755191962478e-09,4.668807461250156e-10,4.668744458374624e-10,1.556269129523552e-08,1.556248128621006e-08,3.112517258144558e-07,-9.804432675804428e-09,-1.6830942130279791e-07,3.26814417446515e-07,-3.26814417446515e-07,-1.6830942130279791e-07,-2.102057859897161e-13,2.1034584919826906e-13,1.634072050743512e-07,1.634072050743512e-07,-3.268144174465147e-07,-6.306156986761354e-15,6.3103421922100864e-15,4.902216228446727e-09,4.902216228446727e-09,-9.804432675804431e-09
0.0,0.0,3.360818827660457e-05,3.360818827660457e-05,3.360818827660457e-05,1.6803980757037508e-05,0.0,5.041194305407483e-07,1.0082456639755118e-06,1.0082456639755118e-06,1.0856750022507202e-17,3.636939251019434e-16,0.0,1.0082456639755118e-08,5.041262334347635e-10,5.041194305407483e-10,1.6804207519567058e-08,1.680398075703751e-08,3.3608188276604567e-07,-1.0586582884046636e-08,-1.8173633270849093e-07,3.528860906493066e-07,-3.528860906493066e-07,-1.8173633270849093e-07,-2.2697498669541465e-13,2.2712622347533693e-13,1.7644304138465495e-07,1.7644304138465495e-07,-3.528860906493063e-07,-6.809231684228843e-15,6.813750765306976e-15,5.293291323835998e-09,5.293291323835998e-09,-1.0586582884046633e-08
0.0,0.0,3.628928695190615e-05,3.628928695190615e-05,3.628928695190615e-05,1.8144521049679502e-05,0.0,5.443356399446175e-07,1.0886786254852244e-06,1.0886786254852244e-06,1.172284971924411e-17,3.927076904223423e-16,0.0,1.0886786254852244e-08,5.44342985540607e-10,5.443356399446175e-10,1.814476590222665e-08,1.8144521049679502e-08,3.628928695190615e-07,-1.1431129252115705e-08,-1.9623437815112765e-07,3.810376358139958e-07,-3.810376358139958e-07,-1.9623437815112765e-07,-2.4508195311111945e-13,2.452452548374905e-13,1.9051881365268558e-07,1.9051881365268558e-07,-3.810376358139956e-07,-7.352439247397334e-15,7.357318839135165e-15,5.715564498442121e-09,5.715564498442121e-09,-1.1431129252115705e-08
0.0,0.0,3.91842707092453e-05,3.91842707092453e-05,3.91842707092453e-05,1.9592003161773237e-05,0.0,5.877601039818675e-07,1.1755281395558365e-06,1.1755281395558365e-06,1.2658042840820171e-17,4.240360395488951e-16,0.0,1.1755281395558365e-08,5.87768035573969e-10,5.877601039818675e-10,1.9592267547472063e-08,1.9592003161773236e-08,3.9184270709245303e-07,-1.2343049443790382e-08,-2.1188900752237858e-07,4.1143497506396107e-07,-4.1143497506396107e-07,-2.1188900752237858e-07,-2.646334057138749e-13,2.6480973487173964e-13,2.0571748293827967e-07,2.0571748293827967e-07,-4.114349750639608e-07,-7.938981282155131e-15,7.944250144409201e-15,6.171524584098891e-09,6.171524584098891e-09,-1.2343049443790377e-08
0.0,0.0,4.231020226576068e-05,4.231020226576068e-05,4.231020226576068e-05,2.115495839432491e-05,0.0,6.346487616866591e-07,1.2693060877094666e-06,1.2693060877094666e-06,1.3667841375770599e-17,4.578636205270007e-16,0.0,1.2693060877094665e-08,6.346573260228075e-10,6.346487616866591e-10,2.115524387143577e-08,2.1154958394324912e-08,4.231020226576068e-07,-1.3327718216785321e-08,-2.287924874928926e-07,4.4425726698690616e-07,-4.4425726698690616e-07,-2.287924874928926e-07,-2.8574457862431126e-13,2.859349744816963e-13,2.2212862853328902e-07,2.2212862853328902e-07,-4.442572669869059e-07,-8.572314803023983e-15,8.578003989989462e-15,6.663858959603639e-09,6.663858959603639e-09,-1.3327718216785316e-08
0.0,0.0,4.568550551962041e-05,4.568550551962041e-05,4.568550551962041e-05,2.2842598634263355e-05,0.0,6.852779696711491e-07,1.3705651868997529e-06,1.3705651868997529e-06,1.4758197039906512e-17,4.94389811889449e-16,0.0,1.3705651868997529e-08,6.852872172286038e-10,6.852779696711492e-10,2.2842906885357053e-08,2.2842598634263355e-08,4.568550551962041e-07,-1.4390939100984333e-08,-2.4704444532194706e-07,4.796979625759509e-07,-4.796979625759509e-07,-2.4704444532194706e-07,-3.085398987837906e-13,3.087454835171313e-13,2.398489759321136e-07,2.398489759321136e-07,-4.796979625759509e-07,-9.256172608422767e-15,9.26231565166718e-15,7.195469389833477e-09,7.195469389833477e-09,-1.439093910098433e-08
