v1,V(n001),V(n002),Ic(Q1),Ib(Q1),Ie(Q1),I(I1),I(V1)
10.859999999999813,10.86,0.73776793,0.020723397,1e-04,-0.020823397,1e-04,-0.020723397
10.869999999999813,10.87,0.73776835,0.020725278,1e-04,-0.020825278,1e-04,-0.020725278
10.879999999999812,10.88,0.7377687,0.02072716,1e-04,-0.02082716,1e-04,-0.02072716
10.889999999999812,10.89,0.73776907,0.020729043,1e-04,-0.020829042,1e-04,-0.020729043
10.899999999999812,10.9,0.7377695,0.020730924,1e-04,-0.020830924,1e-04,-0.020730924
10.909999999999812,10.91,0.73776984,0.020732805,1e-04,-0.020832805,1e-04,-0.020732805
10.919999999999812,10.92,0.7377702,0.020734686,1e-04,-0.020834688,1e-04,-0.020734686
10.929999999999811,10.93,0.7377706,0.02073657,1e-04,-0.02083657,1e-04,-0.02073657
10.939999999999811,10.94,0.737771,0.02073845,1e-04,-0.02083845,1e-04,-0.02073845
10.949999999999811,10.95,0.73777133,0.020740332,1e-04,-0.020840332,1e-04,-0.020740332
10.95999999999981,10.96,0.73777175,0.020742213,1e-04,-0.020842215,1e-04,-0.020742213
10.96999999999981,10.97,0.7377721,0.020744096,1e-04,-0.020844096,1e-04,-0.020744096
10.97999999999981,10.98,0.73777246,0.020745978,1e-04,-0.020845978,1e-04,-0.020745978
10.98999999999981,10.99,0.7377729,0.020747859,1e-04,-0.020847859,1e-04,-0.020747859
10.99999999999981,11.0,0.73777324,0.020749742,1e-04,-0.020849742,1e-04,-0.020749742
11.00999999999981,11.01,0.7377736,0.020751623,1e-04,-0.020851623,1e-04,-0.020751623
11.01999999999981,11.02,0.73777395,0.020753505,1e-04,-0.020853505,1e-04,-0.020753505
11.02999999999981,11.03,0.7377744,0.020755386,1e-04,-0.020855386,1e-04,-0.020755386
11.039999999999809,11.04,0.7377747,0.02075727,1e-04,-0.020857269,1e-04,-0.02075727
11.049999999999809,11.05,0.7377751,0.02075915,1e-04,-0.02085915,1e-04,-0.02075915
11.059999999999809,11.06,0.7377755,0.020761032,1e-04,-0.020861031,1e-04,-0.020761032
